epoch 1	663.81	273.99
epoch 2	177.08	158.72
epoch 3	108.61	125.63
epoch 4	87.10	116.25
epoch 5	74.96	111.75
epoch 6	67.68	109.70
epoch 7	62.32	110.12
epoch 8	54.44	104.44
epoch 9	51.33	104.56
epoch 10	49.44	104.18
epoch 11	48.49	104.55
epoch 12	47.58	104.60
epoch 13	47.65	104.58
epoch 14	47.83	104.58
epoch 15	47.32	104.58
epoch 16	47.53	104.58
epoch 17	47.52	104.58
epoch 18	47.58	104.58
epoch 19	47.57	104.58
epoch 20	47.51	104.58
epoch 21	47.67	104.58
epoch 22	47.49	104.58
epoch 23	47.38	104.58
epoch 24	47.39	104.58
epoch 25	47.61	104.58
epoch 26	47.28	104.58
epoch 27	47.46	104.58
epoch 28	47.32	104.58
epoch 29	47.50	104.58
epoch 30	47.34	104.58
epoch 31	47.21	104.58
epoch 32	47.54	104.58
epoch 33	47.30	104.58
epoch 34	47.46	104.58
epoch 35	47.37	104.58
epoch 36	47.38	104.58
epoch 37	47.45	104.58
epoch 38	47.65	104.58
epoch 39	47.41	104.58
epoch 40	47.43	104.58
