epoch 1	658.15	234.79
epoch 2	146.78	150.37
epoch 3	82.76	121.12
epoch 4	61.21	114.70
epoch 5	49.26	116.45
epoch 6	35.29	111.93
epoch 7	30.82	116.16
epoch 8	27.31	117.01
epoch 9	26.12	117.37
epoch 10	25.74	117.34
epoch 11	25.61	117.31
epoch 12	25.58	117.31
epoch 13	25.57	117.31
epoch 14	25.57	117.31
epoch 15	25.57	117.31
epoch 16	25.57	117.31
epoch 17	25.57	117.31
epoch 18	25.57	117.31
epoch 19	25.57	117.31
epoch 20	25.57	117.31
epoch 21	25.57	117.31
epoch 22	25.57	117.31
epoch 23	25.57	117.31
epoch 24	25.57	117.31
epoch 25	25.57	117.31
epoch 26	25.57	117.31
epoch 27	25.57	117.31
epoch 28	25.57	117.31
epoch 29	25.57	117.31
epoch 30	25.57	117.31
epoch 31	25.57	117.31
epoch 32	25.57	117.31
epoch 33	25.57	117.31
epoch 34	25.57	117.31
epoch 35	25.57	117.31
epoch 36	25.57	117.31
epoch 37	25.57	117.31
epoch 38	25.57	117.31
epoch 39	25.57	117.31
epoch 40	25.57	117.31
