epoch 1	730.21	285.32
epoch 2	214.34	179.62
epoch 3	152.69	148.47
epoch 4	129.72	135.61
epoch 5	115.94	129.99
epoch 6	107.06	126.12
epoch 7	101.33	124.07
epoch 8	96.67	121.71
epoch 9	92.67	121.17
epoch 10	89.88	120.10
epoch 11	87.44	120.20
epoch 12	81.62	116.83
epoch 13	78.08	116.65
epoch 14	76.15	116.09
epoch 15	74.51	115.69
epoch 16	73.28	116.21
epoch 17	72.14	116.00
epoch 18	71.11	116.20
epoch 19	70.98	116.23
epoch 20	71.33	116.23
epoch 21	70.90	116.23
epoch 22	70.95	116.23
epoch 23	71.07	116.23
epoch 24	70.75	116.23
epoch 25	71.09	116.23
epoch 26	70.99	116.23
epoch 27	70.63	116.23
epoch 28	70.73	116.23
epoch 29	70.93	116.23
epoch 30	71.00	116.23
epoch 31	70.70	116.23
epoch 32	70.83	116.23
epoch 33	71.06	116.23
epoch 34	70.69	116.23
epoch 35	71.40	116.23
epoch 36	70.89	116.23
epoch 37	71.13	116.23
epoch 38	70.94	116.23
epoch 39	71.18	116.23
epoch 40	70.79	116.23
