epoch 1	672.64	254.45
epoch 2	158.00	142.28
epoch 3	88.76	121.85
epoch 4	66.62	113.63
epoch 5	54.76	110.45
epoch 6	46.81	114.75
epoch 7	35.64	110.61
epoch 8	31.99	109.45
epoch 9	30.81	109.97
epoch 10	30.00	109.76
epoch 11	29.59	109.65
epoch 12	29.60	109.64
epoch 13	29.50	109.64
epoch 14	29.64	109.64
epoch 15	29.54	109.64
epoch 16	29.64	109.64
epoch 17	29.65	109.64
epoch 18	29.63	109.64
epoch 19	29.60	109.64
epoch 20	29.54	109.64
epoch 21	29.64	109.64
epoch 22	29.52	109.64
epoch 23	29.57	109.64
epoch 24	29.65	109.64
epoch 25	29.55	109.64
epoch 26	29.62	109.64
epoch 27	29.56	109.64
epoch 28	29.60	109.64
epoch 29	29.60	109.64
epoch 30	29.57	109.64
epoch 31	29.59	109.64
epoch 32	29.55	109.64
epoch 33	29.68	109.64
epoch 34	29.53	109.64
epoch 35	29.53	109.64
epoch 36	29.55	109.64
epoch 37	29.55	109.64
epoch 38	29.58	109.64
epoch 39	29.54	109.64
epoch 40	29.60	109.64
